ensembl,gda_score,label_0,label_1,label_2,label_3,label_4,label_5,label_6,label_7,label_8,label_9,label_10,label_11,label_12,label_13,label_14,label_15,label_16,label_17,label_18,label_19,label_20,label_21,label_22,label_23,label_24,label_25,label_26,label_27,label_28,label_29,label_30,label_31,label_32,label_33,label_34,label_35,label_36,label_37,label_38,label_39,label_40,label_41,label_42,label_43,label_44,label_45,label_46,label_47,label_48,label_49,label_50,label_51,label_52,label_53,label_54,label_55,label_56,label_57,label_58,label_59,label_60,label_61,label_62,label_63,label_64,label_65,label_66,label_67,label_68,label_69,label_70,label_71,label_72,label_73,label_74,label_75,label_76,label_77,label_78,label_79,label_80,label_81,label_82,label_83,label_84,label_85,label_86,label_87,label_88,label_89,label_90,label_91,label_92,label_93,label_94,label_95,label_96,label_97,label_98,label_99
ENSG00000136754,,,,0,,,,,,0,0,0,,,,,0,,,0,,,,,0,0,0,,,0,0,,,0,,,0,0,0,0,0,,,,,,,,0,,0,0,0,0,,,0,0,0,0,0,,0,,,,,0,0,0,0,0,0,,0,,0,,,,,,,,,,,,0,0,,0,,,0,,,,,,
ENSG00000097007,,,,,0,,,,0,,0,0,0,0,,0,,,,,,,,0,0,,,,,,,,,,,,0,,0,0,,,0,,0,,,,,0,,0,,0,,,,,,,,0,0,,,,0,,,,,,,,0,0,,,,,0,0,0,0,,,,,,,,,,0,,,,,0,,
ENSG00000143322,,,0,,0,,,,,,,,0,,0,,0,,,,0,0,,0,,,,,,,,0,0,,,,,0,,0,,,0,,,0,,,0,,,,,0,0,0,,,,,,,,0,,0,0,,,,0,0,,0,,0,0,,0,,,,,,0,0,,,0,0,0,,0,,,,,,,,
ENSG00000144476,,,,,,,0,,,0,,0,0,0,,0,,,,,,,,,,0,,,,,,,,0,0,0,0,0,,,,,0,,,0,0,0,0,,,,,0,0,,0,,,,,,,,0,,0,0,0,,,,,0,0,,,,0,,0,,,,0,,,0,,,,,0,,,,,,,0,
ENSG00000123983,,0,,,,,,,,,0,,,,,,0,0,,0,,0,,,0,,0,0,,,,,,0,,0,0,,,,0,,,,0,0,,0,,,0,,,,0,,0,,,,,,,0,,,,,0,,0,,0,,,0,0,,0,,,0,0,,,,,,,,,,,,,0,,,,,
ENSG00000115170,,,,,,,0,,,0,,,,,,,0,,0,,,0,,0,,0,,,0,,0,0,,0,0,,,,0,,0,0,,,,,,,,,,0,,,0,0,,,0,,,0,,,0,,,0,0,,,,0,0,,,,,,0,0,0,,,0,,,,,0,,,,,,,,0,0,,
ENSG00000121989,,0,,0,,0,0,0,,,,,,,,,,,,,,,,,,,0,,0,0,0,,,0,0,,0,,0,,,,,0,0,,0,,0,,,,,,,0,,,0,,,,0,,0,,,,,,,,0,,,0,,,,,,0,,,,,,,0,,,,,,0,,0,0,,0,0
ENSG00000130396,,,,0,,,,0,0,,,,,,0,0,0,,,0,0,0,,0,,0,,,0,,,,0,,,0,,,,,,,,,0,,0,0,,,,,,,,,,0,,0,0,,,,,,,,,,,,,0,0,0,,,0,,0,0,0,0,,,0,0,0,,,0,0,,,,0,,,,
ENSG00000172493,,,0,0,0,,0,,,,,0,,,,0,,,,0,,,,,,,,0,,,,0,0,,,,,,,,,,0,,0,,,0,,,,,0,,,,0,,,,,0,,0,,,0,,,0,0,,,,,,,,,,,,,,,,,0,,,,,0,,,0,,,,,
ENSG00000144218,,0,,,,,0,0,0,,,,,,,,0,,,,,,,0,0,0,0,,,0,,,,0,0,,,0,0,,0,,,,,0,,0,,0,,0,,,,0,,,,,,0,,0,,,,,,0,,,,0,,,,,,,,,,,,0,0,,0,,,,0,,,0,0,,,,
ENSG00000072364,,,,,0,0,,0,,,,,0,0,0,,,,,0,,,0,,,,0,,,,,,,0,,,0,0,,0,,,0,0,,,0,,0,0,0,0,,,0,0,0,,0,0,,0,,,0,,,,0,0,,,,0,,,,,,,,,0,0,,,,,,0,,0,0,0,0,,,,0,,
ENSG00000127914,,,,,0,0,,,0,,0,,,,,,,0,0,,0,,,,,,,,,,,,,,,,0,,0,,0,,,,,,0,,,0,,,0,,0,0,,0,0,0,0,,,0,,,,0,0,,,,,,0,,,,,0,,0,,,,0,,,,0,0,0,,,,0,,,,0,
ENSG00000142208,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
ENSG00000142208,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
ENSG00000105221,,,0,,,,,,,,0,,,,0,,0,0,,,0,0,0,,0,,,,,,0,0,,,,0,,,,,0,,,,,0,0,,,,,0,,,0,0,,0,0,,,,,,,,0,,0,,0,0,,,0,,0,,,0,0,,,0,,,0,,,,,,0,0,,0,0,,,0,0
ENSG00000117020,,,0,,,,,,,0,0,0,,0,,0,,,,,,,,,,0,0,,,0,0,,0,,,,,,0,,0,,,,0,0,,,,0,0,,,,,,0,,0,,,,,,,,0,0,,0,0,,,,,,,0,0,,0,,,,,,,,,0,,,0,,,,0,0,0,0,
ENSG00000111275,,0,,,,,,0,0,0,0,,0,,,,,,,,,,0,0,,0,,,0,0,,0,0,0,,,,,0,,,,0,0,0,,,,,0,,,0,0,,0,0,,,0,,0,,0,,,,,,0,,,,0,,0,,,0,,,,,,0,,,0,,,,,,0,0,0,,,0,0,0
ENSG00000171094,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
ENSG00000171094,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
ENSG00000184675,,,,,,0,,0,0,,0,,,,,0,,,,,,,0,,0,,,0,0,0,,,0,0,0,,,,,,,,,,,0,,,,0,,0,0,,0,,,,,,,,,,,,0,,,,,,,0,,,,,,,0,,0,,,,,0,0,0,,,,,,,0,,,,
ENSG00000134982,,,,,,0,0,0,,0,,,,0,,0,0,0,,0,0,0,0,,0,,0,0,0,0,0,0,,,0,,,0,0,,,0,0,,,,,,,,0,,,0,,,,,,0,,0,,,0,0,,0,,0,,,,,,,0,,,0,0,0,,,,,,,,,,,,,0,0,,,0,,
ENSG00000179750,,0,,,,,,,,,0,0,,,,,,0,,0,0,0,,,0,,,0,,0,,,0,0,,,,0,,,,0,,,0,,,,,,,0,0,0,,0,0,0,,,,0,,,0,,,,0,,,,,0,,0,0,,0,,,0,,,,,,,,,,0,0,,0,,,,,0,0
ENSG00000169083,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
