geneId,Gene,DSI,DPI,diseaseId,diseaseName,diseaseType,diseaseClass,diseaseSemanticType,score,EI,YearInitial,YearFinal,NofPmids,NofSnps,source
20,ABCA2,0.67,0.615,C1997217,Low grade glioma,disease,C04,Neoplastic Process,0.01,1,2014,2014,1,0,BEFREE
22,ABCB7,0.678,0.385,C0085131,Gangliosidosis GM1,disease,C16;C18;C10,Disease or Syndrome,0.01,1,2019,2019,1,0,BEFREE
24,ABCA4,0.493,0.769,C0206726,gliosarcoma,disease,C04,Neoplastic Process,0.01,1,1999,1999,1,0,BEFREE
31,ACACA,0.48,0.846,C0030421,Paraganglioma,disease,C04,Neoplastic Process,0.01,1,2017,2017,1,0,BEFREE
47,ACLY,0.563,0.692,C0028945,oligodendroglioma,disease,C04,Neoplastic Process,0.01,1,2014,2014,1,0,BEFREE
47,ACLY,0.563,0.692,C0279070,Adult Oligodendroglioma,disease,C04,Neoplastic Process,0.01,1,2014,2014,1,0,BEFREE
47,ACLY,0.563,0.692,C0280475,Childhood Oligodendroglioma,disease,C04,Neoplastic Process,0.01,1,2014,2014,1,0,BEFREE
47,ACLY,0.563,0.692,C0751396,Well Differentiated Oligodendroglioma,disease,C04,Neoplastic Process,0.01,1,2014,2014,1,0,BEFREE
60,ACTB,0.325,0.923,C0028945,oligodendroglioma,disease,C04,Neoplastic Process,0.01,1,2012,2012,1,0,BEFREE
60,ACTB,0.325,0.923,C0206718,Ganglioneuroblastoma,disease,C04,Neoplastic Process,0.01,1,2002,2002,1,0,BEFREE
60,ACTB,0.325,0.923,C0279070,Adult Oligodendroglioma,disease,C04,Neoplastic Process,0.01,1,2012,2012,1,0,BEFREE
60,ACTB,0.325,0.923,C0280475,Childhood Oligodendroglioma,disease,C04,Neoplastic Process,0.01,1,2012,2012,1,0,BEFREE
60,ACTB,0.325,0.923,C0751396,Well Differentiated Oligodendroglioma,disease,C04,Neoplastic Process,0.01,1,2012,2012,1,0,BEFREE
60,ACTB,0.325,0.923,C4086158,Childhood Ganglioneuroblastoma,disease,C04,Neoplastic Process,0.01,1,2002,2002,1,0,BEFREE
90,ACVR1,0.535,0.731,C0259783,mixed gliomas,disease,C04,Neoplastic Process,0.3,1,2014,2014,3,0,CTD_human
90,ACVR1,0.535,0.731,C4722099,High grade glioma,disease,C04,Neoplastic Process,0.01,1,2014,2014,1,0,BEFREE
103,ADAR,0.501,0.808,C2750915,Basal ganglia gliosis,phenotype,C23,Finding,0.1,NA,NA,NA,0,0,HPO
117,ADCYAP1R1,0.561,0.769,C0028945,oligodendroglioma,disease,C04,Neoplastic Process,0.01,1,2000,2000,1,0,BEFREE
117,ADCYAP1R1,0.561,0.769,C0751396,Well Differentiated Oligodendroglioma,disease,C04,Neoplastic Process,0.01,1,2000,2000,1,0,BEFREE
126,ADH1C,0.547,0.731,C1846865,Substantia nigra gliosis,phenotype,C23,Finding,0.1,NA,NA,NA,0,0,HPO
133,ADM,0.436,0.808,C0028945,oligodendroglioma,disease,C04,Neoplastic Process,0.01,1,2002,2002,1,0,BEFREE
133,ADM,0.436,0.808,C0751396,Well Differentiated Oligodendroglioma,disease,C04,Neoplastic Process,0.01,1,2002,2002,1,0,BEFREE
142,PARP1,0.389,0.923,C0030421,Paraganglioma,disease,C04,Neoplastic Process,0.01,1,2018,2018,1,0,BEFREE
153,ADRB1,0.555,0.769,C0017075,Ganglioneuroma,disease,C04,Neoplastic Process,0.01,1,2019,2019,1,0,BEFREE
154,ADRB2,0.442,0.923,C0017075,Ganglioneuroma,disease,C04,Neoplastic Process,0.01,1,2019,2019,1,0,BEFREE
155,ADRB3,0.533,0.731,C0017075,Ganglioneuroma,disease,C04,Neoplastic Process,0.01,1,2019,2019,1,0,BEFREE
155,ADRB3,0.533,0.731,C0206718,Ganglioneuroblastoma,disease,C04,Neoplastic Process,0.01,1,2019,2019,1,0,BEFREE
155,ADRB3,0.533,0.731,C4086158,Childhood Ganglioneuroblastoma,disease,C04,Neoplastic Process,0.01,1,2019,2019,1,0,BEFREE
174,AFP,0.429,0.885,C0206716,Ganglioglioma,disease,C04,Neoplastic Process,0.01,1,1993,1993,1,0,BEFREE
174,AFP,0.429,0.885,C1332969,Childhood Ganglioglioma,disease,C04,Neoplastic Process,0.01,1,1993,1993,1,0,BEFREE
177,AGER,0.42,0.885,C0206716,Ganglioglioma,disease,C04,Neoplastic Process,0.01,1,2011,2011,1,0,BEFREE
181,AGRP,0.488,0.769,C0030421,Paraganglioma,disease,C04,Neoplastic Process,0.01,1,2005,2005,1,0,BEFREE
199,AIF1,0.521,0.808,C0206726,gliosarcoma,disease,C04,Neoplastic Process,0.01,1,2000,2000,1,0,BEFREE
207,AKT1,0.311,0.962,C0028945,oligodendroglioma,disease,C04,Neoplastic Process,0.01,1,2019,2019,1,0,BEFREE
207,AKT1,0.311,0.962,C0206726,gliosarcoma,disease,C04,Neoplastic Process,0.01,1,2003,2003,1,0,BEFREE
207,AKT1,0.311,0.962,C0279070,Adult Oligodendroglioma,disease,C04,Neoplastic Process,0.01,1,2019,2019,1,0,BEFREE
207,AKT1,0.311,0.962,C0280475,Childhood Oligodendroglioma,disease,C04,Neoplastic Process,0.01,1,2019,2019,1,0,BEFREE
207,AKT1,0.311,0.962,C0334595,Ganglioneuromatosis,disease,C04,Neoplastic Process,0.01,1,2009,2009,1,0,BEFREE
207,AKT1,0.311,0.962,C0751396,Well Differentiated Oligodendroglioma,disease,C04,Neoplastic Process,0.01,1,2019,2019,1,0,BEFREE
207,AKT1,0.311,0.962,C1997217,Low grade glioma,disease,C04,Neoplastic Process,0.01,1,2011,2011,1,0,BEFREE
207,AKT1,0.311,0.962,C4289580,Epithelioid glioblastoma,disease,,Neoplastic Process,0.02,1,2014,2017,2,0,BEFREE
207,AKT1,0.311,0.962,C4722099,High grade glioma,disease,C04,Neoplastic Process,0.04,1,2011,2019,4,0,BEFREE
208,AKT2,0.474,0.769,C4722099,High grade glioma,disease,C04,Neoplastic Process,0.01,1,2015,2015,1,0,BEFREE
213,ALB,0.317,0.962,C4722099,High grade glioma,disease,C04,Neoplastic Process,0.01,1,2017,2017,1,0,BEFREE
220,ALDH1A3,0.578,0.654,C4722099,High grade glioma,disease,C04,Neoplastic Process,0.01,1,2013,2013,1,0,BEFREE
238,ALK,0.396,0.846,C0017075,Ganglioneuroma,disease,C04,Neoplastic Process,0.01,1,2013,2013,1,0,BEFREE
238,ALK,0.396,0.846,C0206716,Ganglioglioma,disease,C04,Neoplastic Process,0.01,1,2017,2017,1,0,BEFREE
238,ALK,0.396,0.846,C0206718,Ganglioneuroblastoma,disease,C04,Neoplastic Process,0.02,1,2012,2013,2,0,BEFREE
238,ALK,0.396,0.846,C1332969,Childhood Ganglioglioma,disease,C04,Neoplastic Process,0.01,1,2017,2017,1,0,BEFREE
238,ALK,0.396,0.846,C4086158,Childhood Ganglioneuroblastoma,disease,C04,Neoplastic Process,0.02,1,2012,2013,2,0,BEFREE
285,ANGPT2,0.41,0.846,C0334590,Anaplastic Oligodendroglioma,disease,C04,Neoplastic Process,0.01,1,2014,2014,1,0,BEFREE
301,ANXA1,0.442,0.885,C0028945,oligodendroglioma,disease,C04,Neoplastic Process,0.01,1,2009,2009,1,0,BEFREE
301,ANXA1,0.442,0.885,C0206716,Ganglioglioma,disease,C04,Neoplastic Process,0.01,1,2004,2004,1,0,BEFREE
301,ANXA1,0.442,0.885,C0751396,Well Differentiated Oligodendroglioma,disease,C04,Neoplastic Process,0.01,1,2009,2009,1,0,BEFREE
302,ANXA2,0.453,0.808,C4722099,High grade glioma,disease,C04,Neoplastic Process,0.01,1,1992,1992,1,0,BEFREE
324,APC,0.373,0.962,C0028945,oligodendroglioma,disease,C04,Neoplastic Process,0.01,1,1994,1994,1,0,BEFREE
324,APC,0.373,0.962,C0279070,Adult Oligodendroglioma,disease,C04,Neoplastic Process,0.01,1,1994,1994,1,0,BEFREE
324,APC,0.373,0.962,C0280475,Childhood Oligodendroglioma,disease,C04,Neoplastic Process,0.01,1,1994,1994,1,0,BEFREE
324,APC,0.373,0.962,C0751396,Well Differentiated Oligodendroglioma,disease,C04,Neoplastic Process,0.01,1,1994,1994,1,0,BEFREE
332,BIRC5,0.495,0.731,C0028945,oligodendroglioma,disease,C04,Neoplastic Process,0.01,1,2009,2009,1,0,BEFREE
332,BIRC5,0.495,0.731,C0751396,Well Differentiated Oligodendroglioma,disease,C04,Neoplastic Process,0.01,1,2009,2009,1,0,BEFREE
347,APOD,0.584,0.577,C0259783,mixed gliomas,disease,C04,Neoplastic Process,0.3,1,2006,2006,1,0,CTD_human
351,APP,0.422,0.846,C0085131,Gangliosidosis GM1,disease,C16;C18;C10,Disease or Syndrome,0.01,1,2010,2010,1,0,BEFREE
355,FAS,0.372,0.923,C3665419,intracranial glioma,disease,C04;C10,Neoplastic Process,0.21,1,2000,2018,2,0,BEFREE;RGD
356,FASLG,0.43,0.885,C3665419,intracranial glioma,disease,C04;C10,Neoplastic Process,0.21,1,2000,2018,2,0,BEFREE;RGD
367,AR,0.351,0.846,C0206716,Ganglioglioma,disease,C04,Neoplastic Process,0.02,1,1997,2007,2,0,BEFREE
367,AR,0.351,0.846,C1332969,Childhood Ganglioglioma,disease,C04,Neoplastic Process,0.01,1,2007,2007,1,0,BEFREE
367,AR,0.351,0.846,C1997217,Low grade glioma,disease,C04,Neoplastic Process,0.01,1,2020,2020,1,0,BEFREE
390,RND3,0.656,0.385,C4722099,High grade glioma,disease,C04,Neoplastic Process,0.01,1,2015,2015,1,0,BEFREE
396,ARHGDIA,0.663,0.577,C0028945,oligodendroglioma,disease,C04,Neoplastic Process,0.01,1,2008,2008,1,0,LHGDN
410,ARSA,0.448,0.923,C0085131,Gangliosidosis GM1,disease,C16;C18;C10,Disease or Syndrome,0.01,1,2004,2004,1,0,BEFREE
429,ASCL1,0.552,0.692,C0017075,Ganglioneuroma,disease,C04,Neoplastic Process,0.1,NA,NA,NA,0,0,HPO
429,ASCL1,0.552,0.692,C0028945,oligodendroglioma,disease,C04,Neoplastic Process,0.01,1,2006,2006,1,0,BEFREE
429,ASCL1,0.552,0.692,C0206718,Ganglioneuroblastoma,disease,C04,Neoplastic Process,0.1,NA,NA,NA,0,0,HPO
429,ASCL1,0.552,0.692,C0751396,Well Differentiated Oligodendroglioma,disease,C04,Neoplastic Process,0.01,1,2006,2006,1,0,BEFREE
435,ASL,0.593,0.731,C1997217,Low grade glioma,disease,C04,Neoplastic Process,0.01,1,2019,2019,1,0,BEFREE
472,ATM,0.374,0.885,C0030421,Paraganglioma,disease,C04,Neoplastic Process,0.11,1,2007,2007,1,0,BEFREE;CLINVAR
482,ATP1B2,0.705,0.308,C0259783,mixed gliomas,disease,C04,Neoplastic Process,0.3,1,2006,2006,1,0,CTD_human
546,ATRX,0.452,0.808,C0028945,oligodendroglioma,disease,C04,Neoplastic Process,0.07,1,2014,2019,7,0,BEFREE
546,ATRX,0.452,0.808,C0030421,Paraganglioma,disease,C04,Neoplastic Process,0.13,1,2015,2019,3,0,BEFREE;HPO
546,ATRX,0.452,0.808,C0259783,mixed gliomas,disease,C04,Neoplastic Process,0.3,1,2013,2014,2,0,CTD_human
546,ATRX,0.452,0.808,C0279070,Adult Oligodendroglioma,disease,C04,Neoplastic Process,0.03,1,2015,2019,3,0,BEFREE
546,ATRX,0.452,0.808,C0280475,Childhood Oligodendroglioma,disease,C04,Neoplastic Process,0.03,1,2015,2019,3,0,BEFREE
546,ATRX,0.452,0.808,C0280793,Mixed Oligodendroglioma-Astrocytoma,disease,C04,Neoplastic Process,0.01,1,2019,2019,1,0,BEFREE
546,ATRX,0.452,0.808,C0751396,Well Differentiated Oligodendroglioma,disease,C04,Neoplastic Process,0.07,1,2014,2019,7,0,BEFREE
572,BAD,0.553,0.769,C1997217,Low grade glioma,disease,C04,Neoplastic Process,0.01,1,2018,2018,1,0,BEFREE
581,BAX,0.417,0.885,C3665419,intracranial glioma,disease,C04;C10,Neoplastic Process,0.2,1,2017,2018,2,0,RGD
595,CCND1,0.344,0.923,C0017075,Ganglioneuroma,disease,C04,Neoplastic Process,0.02,1,2008,2015,2,0,BEFREE
595,CCND1,0.344,0.923,C0028945,oligodendroglioma,disease,C04,Neoplastic Process,0.01,1,2018,2018,1,0,BEFREE
595,CCND1,0.344,0.923,C0030421,Paraganglioma,disease,C04,Neoplastic Process,0.11,1,2014,2014,1,0,BEFREE;HPO
595,CCND1,0.344,0.923,C0206718,Ganglioneuroblastoma,disease,C04,Neoplastic Process,0.02,1,2015,2017,2,0,BEFREE
