geneId,Gene,DSI,DPI,diseaseId,diseaseName,diseaseType,diseaseClass,diseaseSemanticType,score,EI,YearInitial,YearFinal,NofPmids,NofSnps,source
2,A2M,0.529,0.769,C0153690,Secondary malignant neoplasm of bone,disease,C23;C04;C05,Neoplastic Process,0.01,1,2012,2012,1,0,BEFREE
13,AADAC,0.631,0.615,C0585442,Osteosarcoma of bone,disease,C04,Neoplastic Process,0.02,1,2018,2019,2,0,BEFREE
17,AAVS1,0.595,0.731,C0585442,Osteosarcoma of bone,disease,C04,Neoplastic Process,0.01,1,2015,2015,1,0,BEFREE
19,ABCA1,0.467,0.846,C0585442,Osteosarcoma of bone,disease,C04,Neoplastic Process,0.01,1,2019,2019,1,0,BEFREE
25,ABL1,0.432,0.923,C0153690,Secondary malignant neoplasm of bone,disease,C23;C04;C05,Neoplastic Process,0.01,1,2016,2016,1,0,BEFREE
31,ACACA,0.48,0.846,C0153690,Secondary malignant neoplasm of bone,disease,C23;C04;C05,Neoplastic Process,0.01,1,2016,2016,1,0,BEFREE
47,ACLY,0.563,0.692,C0585442,Osteosarcoma of bone,disease,C04,Neoplastic Process,0.01,1,2016,2016,1,0,BEFREE
49,ACR,0.493,0.846,C0027543,Avascular necrosis of bone,phenotype,C23;C05,Disease or Syndrome,0.01,1,2017,2017,1,0,BEFREE
54,ACP5,0.561,0.731,C0153690,Secondary malignant neoplasm of bone,disease,C23;C04;C05,Neoplastic Process,0.01,1,2017,2017,1,0,BEFREE
55,ACP3,0.525,0.731,C0153690,Secondary malignant neoplasm of bone,disease,C23;C04;C05,Neoplastic Process,0.01,1,2016,2016,1,0,BEFREE
55,ACP3,0.525,0.731,C4076240,Chronic kidney disease mineral and bone disorder,disease,C18;C13;C05;C12;C19,Disease or Syndrome,0.01,1,2017,2017,1,0,BEFREE
60,ACTB,0.325,0.923,C0585442,Osteosarcoma of bone,disease,C04,Neoplastic Process,0.1,1,1984,2019,10,0,BEFREE
72,ACTG2,0.505,0.808,C0585442,Osteosarcoma of bone,disease,C04,Neoplastic Process,0.01,1,2013,2013,1,0,BEFREE
81,ACTN4,0.508,0.808,C0585442,Osteosarcoma of bone,disease,C04,Neoplastic Process,0.01,1,2019,2019,1,0,BEFREE
86,ACTL6A,0.678,0.346,C0585442,Osteosarcoma of bone,disease,C04,Neoplastic Process,0.01,1,2017,2017,1,0,BEFREE
90,ACVR1,0.535,0.731,C4024082,Abnormality of the first metatarsal bone,disease,,Anatomical Abnormality,0.1,NA,NA,NA,0,0,HPO
98,ACYP2,0.659,0.577,C0585442,Osteosarcoma of bone,disease,C04,Neoplastic Process,0.01,1,2016,2016,1,1,BEFREE
100,ADA,0.44,0.885,C4020847,Abnormality of pelvic girdle bone morphology,disease,,Anatomical Abnormality,0.1,NA,NA,NA,0,0,HPO
101,ADAM8,0.59,0.731,C0238790,bone destruction,disease,,Disease or Syndrome,0.01,1,2009,2009,1,0,BEFREE
132,ADK,0.584,0.769,C0238790,bone destruction,disease,,Disease or Syndrome,0.01,1,2004,2004,1,0,BEFREE
133,ADM,0.436,0.808,C0153690,Secondary malignant neoplasm of bone,disease,C23;C04;C05,Neoplastic Process,0.01,1,2014,2014,1,0,BEFREE
133,ADM,0.436,0.808,C0585442,Osteosarcoma of bone,disease,C04,Neoplastic Process,0.03,1,2015,2019,3,0,BEFREE
140,ADORA3,0.682,0.5,C0585442,Osteosarcoma of bone,disease,C04,Neoplastic Process,0.01,1,2016,2016,1,0,BEFREE
142,PARP1,0.389,0.923,C0585442,Osteosarcoma of bone,disease,C04,Neoplastic Process,0.07,1,2001,2019,7,0,BEFREE
148,ADRA1A,0.462,0.846,C0153690,Secondary malignant neoplasm of bone,disease,C23;C04;C05,Neoplastic Process,0.01,1,2019,2019,1,0,BEFREE
151,ADRA2B,0.465,0.846,C0153690,Secondary malignant neoplasm of bone,disease,C23;C04;C05,Neoplastic Process,0.01,1,2019,2019,1,0,BEFREE
154,ADRB2,0.442,0.923,C0585442,Osteosarcoma of bone,disease,C04,Neoplastic Process,0.01,1,2015,2015,1,0,BEFREE
156,GRK2,0.532,0.654,C0585442,Osteosarcoma of bone,disease,C04,Neoplastic Process,0.01,1,2017,2017,1,0,BEFREE
165,AEBP1,0.631,0.654,C1838186,Squared iliac bones,phenotype,,Finding,0.1,NA,NA,NA,0,0,HPO
174,AFP,0.429,0.885,C0153690,Secondary malignant neoplasm of bone,disease,C23;C04;C05,Neoplastic Process,0.02,1,2017,2019,2,0,BEFREE
175,AGA,0.57,0.808,C0541764,Delayed bone age,phenotype,,Finding,0.1,NA,NA,NA,0,0,HPO
175,AGA,0.57,0.808,C4021741,Abnormal cortical bone morphology,disease,,Anatomical Abnormality,0.1,NA,NA,NA,0,0,HPO
176,ACAN,0.528,0.846,C0541764,Delayed bone age,phenotype,,Finding,0.1,NA,NA,NA,0,0,HPO
176,ACAN,0.528,0.846,C0545053,Advanced bone age,phenotype,,Finding,0.1,NA,NA,NA,0,0,HPO
177,AGER,0.42,0.885,C0153690,Secondary malignant neoplasm of bone,disease,C23;C04;C05,Neoplastic Process,0.01,1,2017,2017,1,0,BEFREE
177,AGER,0.42,0.885,C0585442,Osteosarcoma of bone,disease,C04,Neoplastic Process,0.01,1,2016,2016,1,0,BEFREE
182,JAG1,0.429,0.808,C0153690,Secondary malignant neoplasm of bone,disease,C23;C04;C05,Neoplastic Process,0.03,1,2017,2019,3,0,BEFREE
182,JAG1,0.429,0.808,C0585442,Osteosarcoma of bone,disease,C04,Neoplastic Process,0.03,1,2017,2017,3,0,BEFREE
